cluster_id	Amplitude
0	3843.6
1	2848.5
2	3519.4
3	2762.0
4	1993.2
5	3076.0
6	2668.3
7	2752.0
8	4456.8
9	3071.3
10	2796.8
11	3166.8
12	2997.0
13	2883.3
14	2819.9
15	2808.3
16	2627.1
17	2848.0
18	2915.9
19	3337.7
20	2348.8
21	2565.6
22	3003.5
23	2979.1
24	4793.4
25	3592.4
26	3998.3
27	3749.2
28	2186.5
29	3245.4
30	3150.4
31	1876.6
32	2724.5
33	2722.5
34	3191.5
