cluster_id	Amplitude
0	2920.4
1	2891.3
2	3179.4
3	3428.3
4	2770.3
5	2962.5
6	3651.5
7	2760.9
8	2818.5
9	2897.0
10	2769.3
11	2816.8
12	2829.1
13	3064.0
14	3255.1
15	4035.3
16	3653.4
17	3163.6
18	2991.1
19	3289.9
20	3132.9
21	3114.4
22	3123.6
23	3235.7
24	3443.5
25	3472.7
26	3395.7
27	3179.6
28	2986.0
