cluster_id	KSLabel
0	mua
1	mua
2	mua
3	mua
4	good
5	mua
6	mua
7	mua
8	good
9	mua
10	mua
11	good
12	mua
13	mua
14	mua
15	good
16	mua
17	good
18	mua
19	mua
20	mua
21	mua
22	mua
23	mua
24	good
25	mua
26	mua
27	mua
28	mua
29	mua
30	good
31	mua
32	good
33	good
34	good
35	good
36	mua
37	mua
38	mua
39	mua
40	mua
41	mua
